|1|5.164e+07|293220.28|0.57%| 
|2|5.416e+07|300383.56|0.55%| 
|3|3.253e+07|211750.26|0.65%| 
|4|2.448e+07|164866.08|0.67%| 
|5|1.883e+07|132834.82|0.71%| 
|6|1.465e+07|108226.51|0.74%| 
|7|1.148e+07|89982.56|0.78%| 
|8|8.989e+06|72558.68|0.81%| 
|9|7.048e+06|59215.24|0.84%| 
|10|5.532e+06|48866.58|0.88%| 
|11|4.343e+06|40608.67|0.93%| 
|12|3.403e+06|33751.12|0.99%| 
|13|2.673e+06|28341.57|1.06%| 
|14|2.096e+06|23843.09|1.14%| 
|15|1.644e+06|19639.89|1.19%| 
|16|1.288e+06|16471.12|1.28%| 
|17|1.010e+06|13842.15|1.37%| 
|18|7.921e+05|11651.16|1.47%| 
|19|6.220e+05|9777.13|1.57%| 
|20|4.883e+05|8199.42|1.68%| 
|21|3.826e+05|6728.90|1.76%| 
|22|2.999e+05|5568.07|1.86%| 
|23|2.363e+05|4616.11|1.95%| 
|24|1.862e+05|3872.31|2.08%| 
|25|1.470e+05|3234.64|2.20%| 
|26|1.165e+05|2729.74|2.34%| 
|27|9.307e+04|2308.67|2.48%| 
|28|7.547e+04|1992.72|2.64%| 
|29|6.207e+04|1724.63|2.78%| 
|30|5.248e+04|1523.80|2.90%| 
|31|4.609e+04|1391.94|3.02%| 
|32|4.252e+04|1317.28|3.10%| 
